course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_title_clean
School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner,9.1k,School Health for Children and Adolescents
Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner,140k,Science of Exercise
Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Intermediate,47k,Search Engine Optimization Fundamentals
Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6.4k,Secure Coding Practices
Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14k,Security  Safety Challenges in a Globalized World
Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,Security in Google Cloud Platform
Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,39k,SelfDriving Cars
Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,14k,Sequence Models
Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner,110k,Sexualidadmucho ms que sexo
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,61k,Sharpened Visions A Poetry Workshop
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced,16k,Site Reliability Engineering Measuring and Managing Reliability
Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18k,Six Sigma Green Belt
Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,15k,Six Sigma and the Organization Advanced
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20k,Sleep Neurobiology Medicine and Society
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22k,Smart Cities  Management of Smart Urban Infrastructures
Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13k,Social Entrepreneurship
Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner,130k,Social Media Marketing
"Social Norms, Social Change I",University of Pennsylvania,COURSE,4.6,Beginner,78k,Social Norms Social Change I
Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4.2k,Social Policy for Social Services  Health Practitioners
Social Psychology,Wesleyan University,COURSE,4.7,Beginner,220k,Social Psychology
Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced,42k,Social and Economic Networks  Models and Analysis
Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60k,Software Design and Architecture
Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34k,Software Development Lifecycle
Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Intermediate,60k,Software Processes and Agile Practices
Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,110k,Software Product Management
Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,17k,Solar Energy Basics
Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner,68k,Songwriting Writing the Lyrics
Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8.8k,Soporte de Tecnologas de la Informacin de Google
Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12k,Spacecraft Dynamics and Control
Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,71k,Spanish Vocabulary Meeting People
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.6,Intermediate,430k,Speak English Professionally In Person Online  On the Phone
Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12k,Sports Marketing
Sports and Society,Duke University,COURSE,4.8,Intermediate,16k,Sports and Society
Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner,370k,Stanford Introduction to Food and Health
Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner,17k,Stanfords Short Course on Breastfeeding
Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16k,Statistical Analysis with R for Public Health
Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34k,Statistics with Python
Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,220k,Statistics with R
Stories of Infection,Stanford University,COURSE,4.9,Intermediate,28k,Stories of Infection
Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced,60k,Strategic Business Analytics
Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner,9.5k,Strategic Business Management  Microeconomics
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,100k,Strategic Leadership and Management
Strategic Management,Copenhagen Business School,COURSE,4.7,Intermediate,58k,Strategic Management
Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68k,Strategic Management and Innovation
Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9.2k,Strategic Sales Management
Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate,30k,Strategising Management for Global Competitive Advantage
Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner,11k,Strategy and Sustainability
Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,220k,Structuring Machine Learning Projects
Success,University of Pennsylvania,COURSE,4.8,Beginner,38k,Success
Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Intermediate,750k,Successful Negotiation Essential Strategies and Skills
Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,11k,Summary Statistics in Public Health
Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7.9k,Supply Chain Analytics
Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4.9k,Supply Chain Finance and Blockchain Technology
Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66k,Supply Chain Logistics
Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,82k,Supply Chain Management
Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24k,Supply Chain Operations
Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Intermediate,29k,Supply Chain Principles
Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Intermediate,50k,Supporting children with difficulties in reading and writing
Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45k,Survey Data Collection and Analytics
Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,9.4k,Sustainable Tourism  promoting environmental public health
Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3.9k,Swift 5 iOS Application Developer
System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,62k,System Administration and IT Infrastructure Services
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48k,Systems Biology and Biotechnology
Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.9,Intermediate,33k,Systems Thinking In Public Health
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,100k,TESOL Certificate Part 1 Teach English Now
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,62k,TESOL Certificate Part 2 Teach English Now
Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Intermediate,81k,Teach English Now Foundational Principles
Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate,8.5k,Teach English Now Teaching Language Online
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Intermediate,53k,Teaching Character and Creating Positive Classrooms
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner,49k,Teamwork Skills Communicating Effectively in Groups
Technical Support Fundamentals,Google,COURSE,4.8,Beginner,280k,Technical Support Fundamentals
TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170k,TensorFlow in Practice
TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12k,TensorFlow Data and Deployment
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner,90k,Terrorism and Counterterrorism Comparing Theory and Practice
The Addicted Brain,Emory University,COURSE,4.6,Beginner,130k,The Addicted Brain
The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,47k,The Art of Music Production
The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,23k,The Art of Sales Mastering the Selling Process
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner,73k,The Arts and Science of Relationships Understanding Human Needs
The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,130k,The Bits and Bytes of Computer Networking
The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22k,The Business of Health Care
The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,84k,The Business of Music Production
The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate,23k,The Changing Global Order
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11k,The Cycle Management of Successful Arts and Cultural Organizations
The DIY Musician,Berklee College of Music,SPECIALIZATION,4.8,Beginner,120k,The DIY Musician
The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Intermediate,420k,The Data Scientists Toolbox
The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Intermediate,7.2k,The Economics of Health Care Delivery
The Global Financial Crisis,Yale University,COURSE,4.8,Intermediate,84k,The Global Financial Crisis
The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Intermediate,29k,The Horse Course Introduction to Basic Care and Management
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",COURSE,4.6,Intermediate,47k,The Managers Toolkit A Practical Guide to Managing People at Work
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner,130k,The Modern World Part One Global History from 1760 to 1910
"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner,47k,The Modern World Part Two Global History since 1910
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9.4k,The Oral Cavity Portal to Health and Disease
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Intermediate,180k,The Power of Macroeconomics Economic Principles in the Real World
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Intermediate,120k,The Power of Microeconomics Economic Principles in the Real World
The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1.7k,The Pronunciation of American English
The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Intermediate,50k,The Science of Gastronomy
The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,12k,The Science of Stem Cells
The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner,59k,The Science of Success What Researchers Know that You Should Know
The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,13k,The Science of Training Young Athletes
The Science of Well-Being,Yale University,COURSE,4.9,Intermediate,2.5m,The Science of WellBeing
The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320k,The Singer Songwriter
The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Intermediate,19k,The Social Context of Mental Health and Illness
The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate,100k,The Strategy of Content Marketing
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26k,The Sustainable Development Goals  A global transdisciplinary vision for the future
The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5.2k,The Teacher and Social and Emotional Learning SEL
The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner,28k,The Technology of Music Production
The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Intermediate,33k,The Truth About Cats and Dogs
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,14k,The hidden value  Lean in manufacturing and services
Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner,200k,Think Again I How to Understand Arguments
Tools for Data Science,IBM,COURSE,4.6,Beginner,120k,Tools for Data Science
Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner,68k,Trading Strategies in Emerging Markets
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Intermediate,45k,Transmedia Storytelling Narrative worlds emerging technologies and global audiences
Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner,110k,Tricky American English Pronunciation
Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5.4k,Troubles du spectre de lautisme  diagnostic
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,US Federal Taxation
UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44k,UCI Project Management
UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68k,UI  UX Design
UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25k,UX Design Fundamentals
Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,29k,Understanding Cancer Metastasis
Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Intermediate,78k,Understanding Clinical Research Behind the Statistics
Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner,89k,Understanding Einstein The Special Theory of Relativity
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24k,Understanding Medical Research Your Facebook Friend is Wrong
Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11k,Understanding Modern Finance
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,49k,Understanding Plants  Part I What a Plant Knows
Understanding Research Methods,SOAS University of London,COURSE,4.5,Intermediate,120k,Understanding Research Methods
Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30k,Understanding and Visualizing Data with Python
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130k,Understanding the Brain The Neurobiology of Everyday Life
Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6.1k,Unity Certified Programmer Exam Preparation
Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12k,Unity XR How to Build AR and VR Apps
University Teaching,The University of Hong Kong,COURSE,4.8,Beginner,9.5k,University Teaching
Unraveling the Cycling City,University of Amsterdam,COURSE,4.9,Intermediate,3.9k,Unraveling the Cycling City
User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner,23k,User Experience Research and Design
User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate,43k,User Interface Design
Using Databases with Python,University of Michigan,COURSE,4.8,Intermediate,220k,Using Databases with Python
Using Python to Access Web Data,University of Michigan,COURSE,4.8,Intermediate,310k,Using Python to Access Web Data
Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,19k,Using Python to Interact with the Operating System
Value Chain Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,63k,Value Chain Management
Version Control with Git,Atlassian,COURSE,4.8,Intermediate,40k,Version Control with Git
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.7,Intermediate,150k,Viral Marketing and How to Craft Contagious Content
Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,37k,Virtual Reality
Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,23k,Virtual Teacher
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.8,Intermediate,190k,Vital Signs Understanding What the Body Is Telling Us
Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.8,Intermediate,120k,Web Applications for Everybody
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,SPECIALIZATION,4.7,Beginner,280k,Web Design for Everybody Basics of Web Development  Coding
Weight Management: Beyond Balancing Calories,Emory University,COURSE,4.7,Beginner,34k,Weight Management Beyond Balancing Calories
What Is Contemporary Art?,The Museum of Modern Art,COURSE,4.7,Beginner,120k,What Is Contemporary Art
What future for education?,UCL Institute of Education,COURSE,4.7,Intermediate,35k,What future for education
What is Compliance?,University of Pennsylvania,COURSE,4.8,Intermediate,6.2k,What is Compliance
What is Data Science?,IBM,COURSE,4.7,Beginner,260k,What is Data Science
What is Social?,Northwestern University,COURSE,4.6,Intermediate,94k,What is Social
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",COURSE,4.7,Beginner,32k,Wine Tasting Sensory Techniques for Wine Analysis
Wonders of Ancient Egypt,University of Pennsylvania,COURSE,4.8,Intermediate,17k,Wonders of Ancient Egypt
Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.9,Beginner,12k,Write A Feature Length Screenplay For Film Or Television
Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.7,Intermediate,270k,Write Professional Emails in English
Write Your First Novel,Michigan State University,COURSE,4.4,Beginner,18k,Write Your First Novel
Writing in the Sciences,Stanford University,COURSE,4.9,Beginner,140k,Writing in the Sciences
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,Intermediate,17k,eLearning Ecologies Innovative Approaches to Teaching and Learning for the Digital Age
iOS App Development with Swift,University of Toronto,SPECIALIZATION,3.9,Intermediate,76k,iOS App Development with Swift
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,IESE Business School,COURSE,4.7,Beginner,25k,Qu hacen los buenos directivos Prioridades de la Alta Direccin
Étudier en France: French Intermediate course B1-B2,École Polytechnique,COURSE,4.8,Intermediate,190k,tudier en France French Intermediate course B1B2
Éxito Profesional,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,69k,xito Profesional
Искусство ведения бизнеса,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,14k,  
Искусство разработки на современном C++,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,68k,    C
Корпоративные финансы и стоимость компании,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,16k,    
Математика и Python для анализа данных,E-Learning Development Fund,COURSE,4.8,Beginner,67k,  Python   
Машинное обучение и анализ данных,E-Learning Development Fund,SPECIALIZATION,4.7,Intermediate,77k,    
Основы Digital Маркетинга,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,19k, Digital 
Основы программирования на Python,National Research University Higher School of Economics,COURSE,4.6,Beginner,83k,   Python
Основы разработки на C++: белый пояс,E-Learning Development Fund,COURSE,4.9,Intermediate,41k,   C  
Погружение в Python,Moscow Institute of Physics and Technology,COURSE,4.7,Intermediate,45k,  Python
Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,52k,  Python
Психолингвистика (Psycholinguistics),Saint Petersburg State University,COURSE,4.8,Intermediate,21k, Psycholinguistics
Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,SPECIALIZATION,4.5,Intermediate,30k,    JavaScript
Русский как иностранный,Saint Petersburg State University,SPECIALIZATION,4.6,Intermediate,9.8k,  
Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,SPECIALIZATION,4.7,Beginner,38k,    
