course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_title_clean
C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36k,C Programming for Unity Game Development
COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220k,COVID19 Contact Tracing
COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32k,COVID19 What You Need to Know CME Eligible
"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Intermediate,130k,Cameras Exposure and Photography
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,340k,Camino a la Excelencia en Gestin de Proyectos
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Intermediate,82k,Capstone Retrieving Processing and Visualizing Data with Python
Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790k,Career Success
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31k,Challenging Forensic Science How Science Should Speak to Court
Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23k,Chemicals and Health
Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Intermediate,19k,Chicken Behaviour and Welfare
Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30k,Child Nutrition and Cooking
Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22k,Chinese for HSK 1
Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,57k,Cisco Networking Basics
Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Intermediate,51k,Classical Sociological Theory
Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner,51k,Claves de la Direccin de Empresas
Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner,4.8k,Climate Change and Health From Science to Action
Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32k,Clinical Terminology for International and US Students
Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110k,Cloud Computing
Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37k,Cloud Computing Basics Cloud 101
Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310k,Cloud Engineering with Google Cloud
Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37k,Coaching Skills for Managers
Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner,120k,Code Yourself An Introduction to Programming
Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15k,Communication Skills for Engineers
Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43k,Communication Strategies for a Virtual Age
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6.4k,Compassionate Leadership Through Service Learning with Jane Goodall and Roots  Shoots
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43k,Competencias digitales Herramientas de ofimtica Microsoft Word Excel Power Point
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350k,Competitive Strategy and Organization Design
Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5.8k,Computational Social Science
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33k,Computational Thinking for Problem Solving
Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27k,Computer Security and Systems Management
Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66k,Conflict Management
Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19k,Construction Cost Estimating and Cost Control
Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61k,Construction Management
Construction Project Management,Columbia University,COURSE,4.8,Beginner,43k,Construction Project Management
Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15k,Construction Scheduling
Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220k,Contabilidad para no contadores
Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27k,Content Strategy for Professionals
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26k,Continuous Delivery  DevOps
Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Intermediate,49k,Control of Mobile Robots
Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240k,Convolutional Neural Networks
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46k,Convolutional Neural Networks in TensorFlow
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10k,Corporate  Commercial Law I Contracts  Employment Law
Corporate Finance Essentials,IESE Business School,COURSE,4.8,Intermediate,56k,Corporate Finance Essentials
Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7.8k,Corporate Strategy
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Intermediate,10k,Corporate Sustainability Understanding and Seizing the Strategic Opportunity
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75k,Correccin estilo y  variaciones de la lengua espaola
Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15k,Cost and Economics in Pricing Strategy
